glasses,eyesight,sleep_wkdy,sleep_wknd,id,nsibs,samp,race_eth,sex,region,income,res_1980,res_2002,age_bir
1,2,4,6,10765,5,17,1,1,3,12000,1,11,23
1,1,5,5,10767,4,15,3,1,3,6320,11,11,23
1,1,8,8,10775,5,15,3,1,3,8600,13,11,20
1,1,3,8,10781,1,15,3,1,3,4000,1,11,28
1,1,5,7,10790,3,16,2,1,3,7200,11,11,22
0,3,7,6,10804,2,16,2,1,3,5000,11,11,23
1,1,7,8,10811,2,18,3,2,2,5200,11,19,21
1,1,7,7,10819,1,15,3,1,3,6400,2,11,24
1,3,4,7,10844,5,16,2,1,3,3046,1,11,22
0,1,5,5,10854,2,15,3,1,3,5496,6,11,21
1,3,8,9,10882,2,17,1,1,3,3664,11,12,26
1,1,8,8,10891,3,15,3,1,3,6904,1,11,22
0,3,6,6,10893,4,16,2,1,4,15200,2,11,18
0,1,8,8,10894,7,16,2,1,4,6270,11,11,34
1,2,9,10,10945,5,17,1,1,4,3968,1,11,23
0,1,7,7,11001,6,17,1,1,4,5650,11,11,16
0,3,5,10,11002,3,15,3,1,4,6347,12,11,24
0,1,6,8,11019,2,17,1,1,4,26600,1,11,21
1,2,8,8,11071,5,16,2,1,1,6800,1,11,24
0,1,6,12,11072,3,16,2,1,1,5061,1,11,25
0,1,7,7,11142,1,17,1,1,1,4625,11,11,22
0,1,6,6,11221,8,16,2,1,3,6116,11,11,27
0,2,8,8,11319,3,18,3,2,3,2100,1,11,22
0,2,4,6,11325,6,16,2,1,3,6238,1,12,22
0,1,7,7,11406,1,15,3,1,1,9240,1,11,30
1,1,8,8,11418,4,15,3,1,3,9000,13,11,32
1,2,6,8,11436,4,17,1,1,3,5000,1,11,29
0,1,7,7,11467,2,15,3,1,4,3050,1,11,26
1,1,9,9,11480,2,15,3,1,4,6500,11,11,36
0,1,6,8,11510,1,15,3,1,4,5000,1,11,24
1,2,7,8,11516,1,15,3,1,4,17000,11,11,23
0,3,7,8,11523,6,15,3,1,4,8500,11,11,18
1,1,6,8,11525,6,16,2,1,4,5000,1,11,30
1,1,7,7,11534,2,15,3,1,4,3814,11,11,41
0,3,3,4,11535,4,16,2,1,4,9600,12,11,22
0,1,7,7,11568,2,15,3,1,4,6284,11,11,23
1,2,7,7,11581,2,15,3,1,4,9791,11,11,24
0,1,8,8,11598,3,15,3,1,4,5000,1,19,23
1,1,6,6,11629,8,17,1,1,4,4000,1,11,34
1,1,8,6,11651,3,16,2,1,4,8900,12,11,20
0,1,8,10,11658,5,16,2,1,1,5500,1,11,23
0,2,8,8,11664,5,16,2,1,3,10000,5,11,29
0,1,8,8,11686,3,15,3,1,1,13000,11,11,19
1,2,4,4,11696,11,16,2,1,1,5300,2,5,36
1,1,6,6,11703,4,15,3,1,1,9550,11,11,19
0,1,7,8,11745,2,15,3,1,4,5000,11,11,28
0,1,6,6,11751,3,1,3,1,1,6000,11,11,22
0,1,7,7,11769,1,5,3,2,1,700,11,11,26
0,3,7,8,11776,2,3,2,1,1,28000,11,11,47
1,1,6,7,11779,2,5,3,2,3,2400,11,11,32
0,1,6,6,11787,1,5,3,2,1,25000,11,11,23
0,3,5,5,11792,4,5,3,2,1,15000,11,11,19
1,2,8,8,11794,4,5,3,2,2,7500,11,11,24
1,1,5,8,11800,4,5,3,2,2,12977,11,11,17
0,3,8,8,11801,2,3,2,1,2,13000,6,5,31
1,2,7,8,11813,4,5,3,2,2,31000,11,11,18
1,1,7,7,11816,2,5,3,2,2,28000,11,11,24
0,4,8,8,11819,4,5,3,2,2,25000,11,11,20
1,1,7,7,11823,4,1,3,1,2,50000,6,11,25
0,1,6,6,11836,8,3,2,1,3,14000,11,11,19
0,3,8,8,11850,5,5,3,2,3,18000,11,11,14
0,1,5,5,11857,3,1,3,1,3,16000,11,11,26
0,4,5,5,11858,4,6,3,2,3,3000,11,11,35
1,1,5,5,11859,4,7,2,2,4,3895,11,11,15
1,1,7,9,11873,3,5,3,2,4,9300,11,11,17
0,3,7,7,11884,2,4,1,1,4,30000,5,19,19
0,2,8,8,11886,2,5,3,2,4,14350,11,11,21
0,1,7,10,11890,8,4,1,1,4,7640,11,11,19
1,3,7,8,11905,4,5,3,2,4,5350,11,11,18
0,3,8,8,11918,2,5,3,2,1,30000,3,11,26
1,1,7,8,11934,3,3,2,1,3,15000,2,11,21
0,3,6,6,11937,2,3,2,1,3,26000,3,11,19
1,1,6,8,11955,3,5,3,2,1,35000,3,11,31
0,2,9,8,11970,2,8,1,2,1,14000,11,11,24
0,1,6,6,11978,6,4,1,1,1,4728,16,11,23
